Longitude,Latitude
-22.345,88.7466
-21.345,88.7463
-20.345,88.7459
-19.345,88.7456
-18.345,88.7453
-17.345,88.745
-16.345,88.7447
-15.345,88.7444
-14.345,88.7441
-13.345,88.7438
-12.345,88.7435
-11.345,88.7432
-10.345,88.7429
-9.345,88.7426
-8.345,88.7423
-7.345,88.7421
-6.345,88.7418
-5.345,88.7415
-4.345,88.7412
-3.345,88.7409
-2.345,88.7407
-1.345,88.7404
-0.345,88.7401
0.655,88.7398
1.655,88.7395
2.655,88.7393
3.655,88.739
4.655,88.7387
5.655,88.7384
6.655,88.7381
7.655,88.7378
8.655,88.7376
9.655,88.7373
10.655,88.737
11.655,88.7367
12.655,88.7364
13.655,88.7361
14.655,88.7358
15.655,88.7355
16.655,88.7352
17.655,88.7349
18.655,88.7346
19.655,88.7343
20.655,88.734
21.655,88.7336
22.655,88.7333
23.655,88.733
24.655,88.7327
25.655,88.7323
26.655,88.732
27.655,88.7316
28.655,88.7313
29.655,88.7309
30.655,88.7305
31.655,88.7301
32.655,88.7297
33.655,88.7293
34.655,88.7289
35.655,88.7285
36.655,88.7281
37.655,88.7277
38.655,88.7272
39.655,88.7267
40.655,88.7263
41.655,88.7258
42.655,88.7253
43.655,88.7247
44.655,88.7242
45.655,88.7236
46.655,88.723
47.655,88.7224
48.655,88.7218
49.655,88.7212
50.655,88.7205
51.655,88.7198
52.655,88.719
53.655,88.7183
54.655,88.7174
55.655,88.7166
56.655,88.7157
57.655,88.7147
58.655,88.7137
59.655,88.7127
60.655,88.7115
61.655,88.7103
62.655,88.7091
63.655,88.7077
64.655,88.7062
65.655,88.7046
66.655,88.7029
67.655,88.7011
68.655,88.6991
69.655,88.6969
70.655,88.6944
71.655,88.6917
72.655,88.6888
73.655,88.6854
74.655,88.6817
75.655,88.6774
76.655,88.6726
